Date,returns
20220712 05:00:00,-0.018279287726223396
20220713 02:00:00,-0.00939139201053915
20220714 01:00:00,0.030618871910655026
20220725 19:00:00,-0.004886842940722935
20220727 15:00:00,0.011228152283739705
20220802 01:00:00,-0.011370001192537137
20220803 00:00:00,0.0253838164628359
20220817 12:00:00,0.006987913194570851
20220819 01:00:00,-0.005537468608975415
20220821 17:00:00,0.014831779448953822
20220831 09:00:00,0.02325192160566898
20220904 19:00:00,0.005806082224541712
20220908 04:00:00,0.02549018259562851
20220915 22:00:00,-0.024666106650839844
20220916 06:00:00,-0.0067986766115455816
20220916 16:00:00,-0.005144945444878544
20220916 21:00:00,-0.011679591690058683
20220917 01:00:00,-0.011180551952972722
20220917 08:00:00,0.019966212519570353
20220919 22:00:00,0.010267339153480983
20220924 02:00:00,-0.0021114410330692625
20220928 14:00:00,-0.0067630812579085545
20220928 22:00:00,0.01988009117869305
20221003 07:00:00,-0.007066848752346681
20221011 06:00:00,-0.009910060046227603
20221014 00:00:00,0.006741007638226222
20221028 21:00:00,0.014257153969830823
20221107 12:00:00,-0.004441136359087829
20221108 06:00:00,-0.014616938639389954
20221108 10:00:00,-0.007120056062974716
20221109 01:00:00,-0.05048289092467466
20221110 18:00:00,-0.019301603016514336
20221110 21:00:00,0.05871510547905693
20221114 15:00:00,0.011378684968101163
20221122 00:00:00,-0.004979990665620673
20221128 23:00:00,-0.004325250980488852
