,Date,Open Price,High Price,Low Price,Close Price,Volume,MA60,MA20,MA10,MA5,kc_middle,kc_upper,kc_lower
36,20221102 12:00:00,20432.38,20447.99,20360.0,20396.49,12514.14385,,20471.398,20463.696,20442.144,20478.957920471086,20652.84680626861,20305.06903467356
37,20221102 13:00:00,20395.82,20424.97,20361.86,20398.99,15134.16367,,20469.356,20451.560999999998,20420.868000000002,20474.442838143445,20643.476232332716,20305.409443954173
38,20221102 14:00:00,20398.99,20457.29,20393.42,20432.44,13326.51305,,20467.844,20442.777,20413.804,20472.092094335192,20636.92719975571,20307.256988914673
39,20221102 15:00:00,20432.44,20438.03,20400.7,20409.03,8114.3206,,20465.722999999998,20434.941,20413.656,20468.591958242683,20624.27426670066,20312.909649784706
40,20221102 16:00:00,20409.03,20548.31,20370.01,20523.33,13555.75639,,20467.7225,20439.614999999998,20432.056000000004,20471.60631924578,20647.651277000023,20295.56136149154
41,20221102 17:00:00,20522.5,20532.48,20355.37,20436.67,16637.52966,,20466.817,20441.118,20440.092,20469.696643036717,20663.77501028449,20275.618275788944
42,20221102 18:00:00,20438.28,20800.0,20141.0,20456.26,74150.59231,,20465.704999999998,20436.207000000002,20451.546,20468.967310591197,20776.662087889075,20161.27253329332
43,20221102 19:00:00,20456.23,20610.79,20048.04,20250.68,48023.32034,,20454.057999999997,20414.499,20415.194,20457.19720670817,20847.473358754265,20066.921054662074
44,20221102 20:00:00,20250.68,20282.6,20101.11,20175.6,21687.18612,,20436.914,20391.082000000002,20368.507999999998,20442.108494972297,20829.630998066048,20054.585991878546
45,20221102 21:00:00,20176.52,20188.0,20060.08,20152.03,10709.82971,,20419.2685,20363.152,20294.248,20426.65747674729,20800.907471761384,20052.407481733193
46,20221102 22:00:00,20152.03,20173.44,20059.94,20109.83,11162.24325,,20399.091,20334.485999999997,20228.879999999997,20409.876419498345,20769.29657321624,20050.45626578045
47,20221102 23:00:00,20110.98,20168.86,20074.64,20151.84,9330.17761,,20380.665999999997,20309.771,20167.996,20396.281972108205,20738.49462453638,20054.06931968003
48,20221103 00:00:00,20151.84,20222.33,20120.0,20203.49,11725.14694,,20364.826500000003,20286.876,20158.557999999997,20386.176065666343,20714.55423080995,20057.797900522735
49,20221103 01:00:00,20202.69,20339.41,20195.0,20306.0,13798.35391,,20355.757,20276.573,20184.638,20381.99341505559,20706.395270679415,20057.591559431763
50,20221103 02:00:00,20304.95,20339.99,20275.28,20285.67,10485.62653,,20346.211000000003,20252.807,20211.366,20376.9911410671,20681.803949336616,20072.178332797586
51,20221103 03:00:00,20285.67,20337.68,20284.39,20310.63,9277.2359,,20340.6605,20240.203,20251.526,20373.559669881222,20658.466096982662,20088.653242779783
52,20221103 04:00:00,20310.63,20393.32,20309.74,20357.95,9456.39875,,20333.289500000003,20230.372,20292.748,20372.755796608257,20645.84317562888,20099.668417587633
53,20221103 05:00:00,20357.95,20390.0,20339.35,20377.49,8522.54001,,20328.776,20243.053,20327.548000000003,20372.99865843341,20628.849014421678,20117.148302445145
54,20221103 06:00:00,20377.49,20386.37,20305.23,20307.25,9199.7432,,20323.65,20256.218,20327.798000000003,20369.63815910918,20616.102916750904,20123.17340146746
55,20221103 07:00:00,20307.55,20363.83,20281.01,20303.09,12457.06053,,20317.238,20271.324,20331.282,20366.24863334228,20604.60871710607,20127.888549578485
56,20221103 08:00:00,20302.35,20333.99,20250.9,20297.22,13019.94277,,20312.2745,20290.063000000002,20328.6,20362.744382936817,20593.86862171522,20131.620144158413
57,20221103 09:00:00,20297.99,20335.0,20281.05,20318.94,11721.1073,,20308.272,20306.772999999997,20320.798000000003,20360.527620137713,20579.302036571666,20141.75320370376
58,20221103 10:00:00,20318.96,20338.99,20259.74,20267.65,11407.1344,,20300.032499999998,20313.189000000002,20298.829999999998,20355.841456272927,20568.576372124873,20143.10654042098
59,20221103 11:00:00,20268.53,20281.27,20052.0,20130.64,21083.55478,20420.31133333333,20286.113,20295.653,20263.507999999998,20344.51099523694,20581.870670449895,20107.151320023982
60,20221103 12:00:00,20129.8,20178.95,20031.24,20109.8,20447.27768,20414.53183333333,20265.4365,20278.066,20224.85,20332.733806946224,20575.908919999412,20089.558693893036
61,20221103 13:00:00,20109.8,20217.39,20093.24,20108.92,22546.62996,20407.7695,20249.049,20257.895,20187.19,20321.53206929859,20565.2204181013,20077.843720495883
62,20221103 14:00:00,20107.87,20339.86,20087.23,20318.59,30712.49137,20403.429333333333,20242.1655,20253.959,20187.12,20321.38517760768,20591.265002901473,20051.50535231389
63,20221103 15:00:00,20318.59,20330.0,20208.56,20248.62,19408.45026,20399.530166666667,20242.0625,20241.072,20183.314000000002,20317.760525676917,20584.93718135446,20050.583869999373
64,20221103 16:00:00,20249.18,20315.8,20241.62,20295.37,15077.11354,20396.194166666664,20248.051,20239.884,20216.260000000002,20316.6476280253,20571.929996909785,20061.365259140817
65,20221103 17:00:00,20295.37,20303.92,20221.26,20226.18,11386.26896,20391.123666666666,20251.7585,20232.193000000003,20239.536,20312.160384711246,20558.437917043793,20065.882852378698
66,20221103 18:00:00,20226.18,20267.71,20177.1,20242.65,12009.78042,20384.758333333335,20258.3995,20226.736,20266.282,20308.719450198067,20548.485632763222,20068.95326763291
67,20221103 19:00:00,20242.65,20279.0,20231.69,20262.53,9906.08632,20379.142,20263.934,20221.095,20255.07,20306.43725742932,20531.677585204736,20081.196929653903
68,20221103 20:00:00,20262.53,20269.76,20218.02,20237.25,7840.49057,20373.352333333336,20265.621999999996,20218.055,20252.796000000002,20303.02486629335,20516.080678448398,20089.969054138306
69,20221103 21:00:00,20237.54,20267.93,20230.0,20259.36,4562.53204,20367.71833333333,20263.29,20230.927,20245.594,20300.87492667014,20500.20255582196,20101.547297518322
70,20221103 22:00:00,20259.57,20271.0,20157.86,20195.41,13516.60692,20360.679166666665,20258.777,20239.487999999998,20239.440000000002,20295.690509275555,20497.71489627023,20093.66612228088
71,20221103 23:00:00,20195.41,20220.72,20161.36,20207.82,9617.58134,20355.429666666667,20253.6365,20249.378,20232.474,20291.377629861057,20485.067348071938,20097.687911650177
72,20221104 00:00:00,20207.12,20309.65,20180.96,20280.23,14798.08192,20351.081499999997,20249.750500000002,20245.542,20236.014,20290.83127887597,20490.892935813856,20090.76962193808
73,20221104 01:00:00,20280.85,20319.33,20245.0,20287.09,8990.96482,20348.832666666665,20245.230499999998,20249.389000000003,20245.982,20290.648171689634,20485.567548951214,20095.728794428054
74,20221104 02:00:00,20287.46,20326.09,20273.52,20312.3,9749.56612,20347.2635,20245.483,20251.082000000002,20256.57,20291.706463743212,20477.6445803156,20105.768347170826
75,20221104 03:00:00,20312.3,20330.87,20279.75,20321.79,9534.15706,20345.22666666667,20246.417999999998,20260.643,20281.846,20293.175030029797,20470.74054695603,20115.609513103565
76,20221104 04:00:00,20321.79,20355.37,20306.58,20329.79,10199.25022,20343.906333333332,20248.0465,20269.357,20306.239999999998,20294.96029922451,20464.52486664818,20125.39573180084
77,20221104 05:00:00,20329.39,20490.1,20322.01,20444.0,16269.53773,20343.97583333333,20254.2995,20287.504,20338.994,20302.21889616293,20488.44950203488,20115.988290290978
78,20221104 06:00:00,20444.79,20688.0,20443.75,20606.95,26664.11878,20346.380333333334,20271.2645,20324.474,20402.966000000004,20317.043982793373,20533.50886743252,20100.579098154227
79,20221104 07:00:00,20606.08,20626.6,20543.05,20611.56,15567.59741,20349.04883333333,20295.3105,20359.694,20462.818000000003,20331.357355619293,20542.884673062,20119.830038176588
80,20221104 08:00:00,20611.56,20658.57,20577.57,20583.39,15567.22743,20350.716333333334,20318.989999999998,20398.492000000002,20515.138,20343.59405253094,20550.167664196822,20137.02044086506
81,20221104 09:00:00,20583.39,20630.47,20567.33,20569.3,14092.79476,20352.625,20342.009000000002,20434.64,20563.04,20354.542320264176,20553.085149601327,20155.999490927024
82,20221104 10:00:00,20570.02,20681.91,20546.0,20655.09,14472.21987,20355.568166666664,20358.834,20472.125999999997,20605.258,20369.10798875524,20574.979702414774,20163.236275095707
83,20221104 11:00:00,20655.09,20655.19,20550.0,20558.46,16897.06256,20356.8155,20374.326,20499.263,20595.559999999998,20378.276952770404,20584.59955969553,20171.95434584528
84,20221104 12:00:00,20558.03,20774.22,20350.0,20757.64,43857.22025,20360.8015,20397.4395,20543.797,20624.775999999998,20396.63203879712,20667.17466986289,20126.089407731353
85,20221104 13:00:00,20757.68,20888.93,20690.49,20760.25,35882.12048,20365.056666666664,20424.143000000004,20587.643,20660.147999999997,20414.21186822395,20697.389703210007,20131.03403323789
86,20221104 14:00:00,20760.25,21302.05,20742.52,21218.29,38574.91766,20376.80516666667,20472.925,20676.493,20789.946000000004,20453.058338142826,20819.83312515032,20086.283551135333
87,20221104 15:00:00,21218.29,21253.24,20831.64,20838.7,29217.80547,20382.111166666666,20501.733500000002,20715.963,20826.667999999998,20471.67648688156,20886.098276203462,20057.254697559656
88,20221104 16:00:00,20837.54,20903.74,20669.57,20783.3,32987.51601,20386.494833333338,20529.036,20733.598,20871.636000000002,20486.711247779313,20906.525314579467,20066.89718097916
89,20221104 17:00:00,20783.99,20825.59,20676.55,20774.22,18318.15676,20391.275333333335,20554.779,20749.864,20874.952,20500.573855658527,20908.21358837018,20092.934122946874
