,Date,Time,Open,High,Low,Close,TotalVolume
0,20221001,00:00:00,19422.61,19426.17,19407.0,19425.54,843.40509
1,20221001,00:05:00,19426.15,19461.03,19419.8,19441.78,922.136
2,20221001,00:10:00,19441.78,19466.98,19434.8,19459.44,660.40867
3,20221001,00:15:00,19460.16,19472.37,19448.29,19472.37,582.58256
4,20221001,00:20:00,19471.52,19484.0,19462.65,19466.47,567.97961
5,20221001,00:25:00,19466.47,19471.91,19430.0,19452.68,678.97834
6,20221001,00:30:00,19451.71,19454.57,19373.95,19397.43,964.10921
7,20221001,00:35:00,19397.43,19412.33,19372.78,19388.52,644.1454
8,20221001,00:40:00,19389.7,19415.93,19351.02,19358.45,1147.3675
9,20221001,00:45:00,19358.45,19384.72,19354.85,19381.52,646.02752
10,20221001,00:50:00,19381.52,19399.58,19371.9,19391.34,509.39619
11,20221001,00:55:00,19392.05,19402.89,19372.42,19402.88,485.11269
12,20221001,01:00:00,19401.84,19405.58,19384.98,19397.36,663.80416
13,20221001,01:05:00,19396.86,19403.37,19383.15,19397.12,384.53567
14,20221001,01:10:00,19396.19,19397.98,19371.26,19389.08,521.42091
15,20221001,01:15:00,19389.08,19405.0,19371.02,19374.29,574.13296
16,20221001,01:20:00,19375.46,19402.05,19365.84,19390.05,513.94685
17,20221001,01:25:00,19390.05,19399.22,19376.79,19380.97,414.4346
18,20221001,01:30:00,19380.97,19401.82,19379.92,19397.69,646.37898
19,20221001,01:35:00,19396.76,19415.43,19378.24,19378.62,651.17716
20,20221001,01:40:00,19378.62,19394.4,19371.68,19387.87,408.091
21,20221001,01:45:00,19388.65,19403.01,19384.8,19395.74,426.46525
22,20221001,01:50:00,19396.2,19431.97,19384.57,19425.01,544.97222
23,20221001,01:55:00,19423.48,19429.99,19411.95,19423.84,562.7253
24,20221001,02:00:00,19423.06,19426.31,19403.07,19416.95,465.43063
25,20221001,02:05:00,19416.08,19422.82,19403.54,19412.97,465.74614
26,20221001,02:10:00,19413.17,19418.38,19390.86,19399.46,517.8097
27,20221001,02:15:00,19398.73,19403.58,19384.41,19401.79,491.55213
28,20221001,02:20:00,19401.44,19415.24,19399.24,19405.77,488.46433
29,20221001,02:25:00,19405.77,19425.0,19403.27,19412.26,426.839
30,20221001,02:30:00,19412.9,19425.58,19408.56,19424.09,394.26221
31,20221001,02:35:00,19423.41,19436.0,19418.21,19423.43,551.60102
32,20221001,02:40:00,19423.43,19425.97,19397.72,19401.02,536.97376
33,20221001,02:45:00,19401.66,19419.4,19395.67,19416.39,510.29355
34,20221001,02:50:00,19417.09,19431.22,19410.47,19426.53,471.85227
35,20221001,02:55:00,19426.53,19428.94,19411.26,19413.79,453.01058
36,20221001,03:00:00,19413.96,19438.75,19412.1,19429.83,423.70611
37,20221001,03:05:00,19429.08,19436.21,19400.58,19405.57,659.16045
38,20221001,03:10:00,19404.79,19408.09,19382.8,19392.09,682.02244
39,20221001,03:15:00,19392.09,19407.95,19390.95,19401.5,506.66686
40,20221001,03:20:00,19401.81,19414.81,19400.73,19411.7,313.0117
41,20221001,03:25:00,19411.7,19411.7,19362.57,19366.21,639.05787
42,20221001,03:30:00,19366.21,19404.53,19361.05,19395.71,614.51548
43,20221001,03:35:00,19395.71,19405.91,19387.46,19395.78,625.60681
44,20221001,03:40:00,19396.6,19405.51,19390.67,19401.11,380.9553
45,20221001,03:45:00,19401.11,19407.84,19396.99,19402.89,280.47725
46,20221001,03:50:00,19403.24,19414.08,19400.83,19409.17,375.28398
47,20221001,03:55:00,19409.17,19418.68,19406.73,19416.05,361.02787
48,20221001,04:00:00,19416.05,19417.41,19400.8,19409.55,420.56325
49,20221001,04:05:00,19409.55,19412.65,19394.79,19409.66,352.73557
50,20221001,04:10:00,19409.66,19423.63,19396.99,19416.6,612.29462
51,20221001,04:15:00,19416.6,19419.84,19388.52,19393.05,459.26535
52,20221001,04:20:00,19393.98,19401.49,19388.55,19395.49,379.75891
53,20221001,04:25:00,19395.49,19396.97,19370.7,19379.86,464.62444
54,20221001,04:30:00,19379.86,19416.35,19378.44,19411.86,631.54828
55,20221001,04:35:00,19410.89,19413.72,19399.16,19405.71,527.13146
56,20221001,04:40:00,19405.71,19417.33,19402.67,19410.88,366.82321
57,20221001,04:45:00,19410.0,19422.39,19375.16,19389.27,712.60709
58,20221001,04:50:00,19389.27,19403.93,19387.92,19397.51,493.88294
59,20221001,04:55:00,19397.83,19411.94,19393.02,19407.43,537.70005
60,20221001,05:00:00,19407.43,19418.88,19402.25,19414.17,336.38133
61,20221001,05:05:00,19414.17,19417.47,19405.92,19413.49,395.61304
62,20221001,05:10:00,19412.63,19418.77,19391.96,19397.47,461.21535
63,20221001,05:15:00,19396.93,19406.5,19372.42,19374.53,504.35825
64,20221001,05:20:00,19374.53,19387.0,19328.36,19343.41,1032.4498
65,20221001,05:25:00,19343.41,19357.62,19270.59,19292.45,3354.49504
66,20221001,05:30:00,19292.45,19321.73,19283.67,19320.35,1062.69692
67,20221001,05:35:00,19320.9,19324.6,19287.06,19302.73,1253.48141
68,20221001,05:40:00,19302.1,19313.77,19295.73,19299.99,1165.50857
69,20221001,05:45:00,19300.0,19324.61,19295.14,19306.49,863.55328
70,20221001,05:50:00,19306.49,19318.87,19291.42,19300.53,1176.20804
71,20221001,05:55:00,19300.53,19327.01,19293.42,19317.92,814.05615
72,20221001,06:00:00,19316.82,19319.26,19287.13,19290.46,1131.97977
73,20221001,06:05:00,19289.39,19301.02,19278.82,19296.39,486.79303
74,20221001,06:10:00,19296.39,19315.48,19292.25,19299.87,715.61495
75,20221001,06:15:00,19299.06,19302.63,19277.0,19282.8,638.14342
76,20221001,06:20:00,19282.8,19295.0,19279.69,19288.17,437.81083
77,20221001,06:25:00,19287.82,19291.25,19266.26,19290.08,654.94493
78,20221001,06:30:00,19290.08,19321.73,19289.08,19311.94,571.4616
79,20221001,06:35:00,19311.94,19324.55,19299.75,19324.55,506.12771
80,20221001,06:40:00,19323.85,19324.94,19294.53,19307.27,590.27374
81,20221001,06:45:00,19307.28,19315.38,19288.28,19290.66,497.27198
82,20221001,06:50:00,19291.34,19306.42,19288.51,19294.94,394.24866
83,20221001,06:55:00,19295.18,19296.78,19284.41,19292.82,375.34134
84,20221001,07:00:00,19293.49,19298.23,19280.45,19281.16,472.86731
85,20221001,07:05:00,19281.74,19283.32,19258.53,19263.59,646.84854
86,20221001,07:10:00,19262.57,19300.83,19261.79,19298.99,568.28374
87,20221001,07:15:00,19298.99,19316.09,19289.96,19314.72,675.84274
88,20221001,07:20:00,19314.05,19317.02,19287.31,19292.04,1100.65522
89,20221001,07:25:00,19292.61,19293.29,19276.06,19283.05,476.8299
90,20221001,07:30:00,19282.92,19303.57,19268.82,19301.72,551.70409
91,20221001,07:35:00,19302.55,19314.28,19296.45,19310.01,480.25
92,20221001,07:40:00,19310.01,19316.73,19297.61,19302.49,600.00883
93,20221001,07:45:00,19302.49,19343.03,19298.06,19321.78,952.82563
94,20221001,07:50:00,19322.87,19322.99,19306.12,19321.32,970.50549
95,20221001,07:55:00,19321.32,19322.31,19306.37,19309.84,410.56131
96,20221001,08:00:00,19309.84,19320.9,19306.0,19318.51,446.71297
97,20221001,08:05:00,19318.54,19321.82,19302.64,19316.19,483.62766
98,20221001,08:10:00,19315.23,19319.83,19303.88,19318.08,451.39767
99,20221001,08:15:00,19318.08,19334.7,19316.25,19330.95,546.82289
100,20221001,08:20:00,19330.95,19349.31,19324.61,19340.35,730.63595
101,20221001,08:25:00,19341.63,19345.91,19329.4,19338.05,610.274
102,20221001,08:30:00,19339.15,19348.96,19330.29,19344.29,472.14473
103,20221001,08:35:00,19343.66,19346.75,19331.61,19337.18,429.40939
104,20221001,08:40:00,19337.18,19343.71,19330.52,19337.05,472.69154
105,20221001,08:45:00,19335.89,19341.08,19329.0,19332.92,444.88814
106,20221001,08:50:00,19332.82,19342.69,19330.98,19335.09,322.51007
107,20221001,08:55:00,19335.09,19336.6,19320.35,19335.03,467.54262
108,20221001,09:00:00,19335.03,19364.09,19334.19,19353.39,568.60873
109,20221001,09:05:00,19353.39,19367.98,19336.39,19344.88,503.88573
110,20221001,09:10:00,19344.88,19347.13,19329.14,19336.34,388.86901
111,20221001,09:15:00,19336.34,19342.94,19329.71,19331.47,445.24757
112,20221001,09:20:00,19330.56,19336.55,19319.41,19329.21,389.19504
113,20221001,09:25:00,19329.21,19331.73,19322.86,19326.13,298.83225
114,20221001,09:30:00,19325.66,19326.92,19301.11,19320.72,517.84187
115,20221001,09:35:00,19321.37,19335.55,19312.66,19331.94,417.57469
116,20221001,09:40:00,19332.84,19333.57,19322.14,19330.05,376.82814
117,20221001,09:45:00,19330.05,19337.92,19326.09,19331.8,368.19768
118,20221001,09:50:00,19331.8,19338.89,19326.31,19336.96,297.88592
119,20221001,09:55:00,19336.96,19349.34,19320.97,19329.5,490.81824
120,20221001,10:00:00,19329.5,19344.3,19328.26,19337.86,424.04717
121,20221001,10:05:00,19338.46,19340.44,19311.98,19319.49,598.28572
122,20221001,10:10:00,19318.58,19325.62,19311.7,19323.63,389.47349
123,20221001,10:15:00,19323.63,19323.98,19284.0,19312.8,639.76622
124,20221001,10:20:00,19313.35,19343.45,19312.8,19337.33,508.88077
125,20221001,10:25:00,19337.75,19338.15,19323.42,19327.28,435.94466
126,20221001,10:30:00,19327.28,19338.84,19325.41,19336.97,509.47163
127,20221001,10:35:00,19337.13,19351.0,19331.77,19343.41,616.32657
128,20221001,10:40:00,19344.61,19365.39,19337.69,19350.81,758.81773
129,20221001,10:45:00,19350.27,19360.93,19345.32,19347.14,563.93393
130,20221001,10:50:00,19347.16,19349.42,19327.59,19334.03,656.95778
131,20221001,10:55:00,19334.28,19337.78,19322.72,19327.95,350.63992
132,20221001,11:00:00,19329.0,19338.88,19325.62,19336.34,508.77464
133,20221001,11:05:00,19336.33,19347.76,19335.01,19340.15,394.99262
134,20221001,11:10:00,19339.5,19340.33,19314.6,19327.62,673.20671
135,20221001,11:15:00,19327.43,19328.48,19315.57,19316.39,546.34262
136,20221001,11:20:00,19316.39,19334.63,19293.0,19294.23,915.12702
137,20221001,11:25:00,19294.23,19302.43,19159.42,19210.13,2200.1343
138,20221001,11:30:00,19210.13,19246.21,19192.98,19233.76,1791.19691
139,20221001,11:35:00,19233.76,19265.32,19222.06,19241.03,892.52467
140,20221001,11:40:00,19240.04,19304.33,19222.86,19292.39,1133.50709
141,20221001,11:45:00,19291.45,19299.0,19267.78,19274.66,702.78387
142,20221001,11:50:00,19275.51,19318.3,19257.01,19316.3,955.34635
143,20221001,11:55:00,19315.04,19333.0,19295.68,19312.04,692.52294
144,20221001,12:00:00,19312.04,19314.0,19295.0,19304.59,684.61416
